Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server),filename,original_row_count,terrain_type,players,duration,Chunks
3137724135.0,289182920412.0,1547050310766592.0,4524462465024.0,5231846694891520.0,84936104649.0,0.0,22520962557.0,1648314554.0,1126677622.0,37332762.0,88432.0,643320721.0,2067340.0,71951061.0,0.0,0.0,0.0,9215505.0,0.0,3451500.0,players-activeLogic_RollingHills_100p_300s.csv,34515,RollingHills,100,300,25
5354385333.0,295900850360.0,405053008547840.0,5417129930752.0,1287629454028800.0,20178956820.0,0.0,2111513256.0,1265044145.0,121151309.0,7638513.0,14320.0,103140881.0,434284.0,68379642.0,0.0,0.0,0.0,22296369.0,0.0,835070.0,players-activeLogic_RollingHills_10p_300s.csv,83507,RollingHills,10,300,25
5836160484.0,296347059002.0,744450127687680.0,6175822667776.0,2470361238953984.0,23405192199.0,0.0,3812401548.0,1192770731.0,129864728.0,8903950.0,21375.0,105759938.0,730329.0,63940698.0,0.0,0.0,0.0,21725256.0,0.0,1627360.0,players-activeLogic_RollingHills_20p_300s.csv,81368,RollingHills,20,300,25
5722012092.0,296298662438.0,1024147702161408.0,6792866340864.0,3424422001942528.0,28298720099.0,0.0,5915889308.0,1351356781.0,246774314.0,9751917.0,21801.0,200757038.0,10817172.0,66179740.0,0.0,0.0,0.0,20106168.0,0.0,2259120.0,players-activeLogic_RollingHills_30p_300s.csv,75304,RollingHills,30,300,25
5410483281.0,296645495718.0,1213319372050432.0,6305337774080.0,4090207914397696.0,33186841811.0,0.0,8432700724.0,1385936829.0,210714592.0,11102893.0,22446.0,175159396.0,12191858.0,66364781.0,0.0,0.0,0.0,18058278.0,0.0,2705360.0,players-activeLogic_RollingHills_40p_300s.csv,67634,RollingHills,40,300,25
4398551850.0,296638959148.0,1226950217711616.0,5069311938560.0,4142016508678144.0,41709857854.0,0.0,12433288308.0,1864064100.0,351691024.0,16614959.0,33888.0,285590114.0,855112.0,81780000.0,0.0,0.0,0.0,14652693.0,0.0,2743950.0,players-activeLogic_RollingHills_50p_300s.csv,54879,RollingHills,50,300,25
4208893117.0,296226157431.0,1376228379750400.0,5190731210752.0,4643527779639296.0,49036127457.0,0.0,15118862496.0,1750834208.0,413206148.0,19190489.0,53807.0,252793761.0,995693.0,78405065.0,0.0,0.0,0.0,13654113.0,0.0,3068340.0,players-activeLogic_RollingHills_60p_300s.csv,51139,RollingHills,60,300,25
4205710194.0,294009200207.0,1520808393822208.0,4361029218304.0,5137401419317248.0,54658170476.0,0.0,17271408513.0,1672654353.0,665022277.0,21829442.0,44443.0,379461081.0,1111392.0,78156957.0,0.0,0.0,0.0,12959913.0,0.0,3397730.0,players-activeLogic_RollingHills_70p_300s.csv,48539,RollingHills,70,300,25
4126473750.0,294813225052.0,1658064489578496.0,4885786968064.0,5610191017644032.0,60151083876.0,0.0,19748046364.0,1669368806.0,676369083.0,23093879.0,62601.0,344411620.0,1186923.0,79573160.0,0.0,0.0,0.0,12344745.0,0.0,3698800.0,players-activeLogic_RollingHills_80p_300s.csv,46235,RollingHills,80,300,25
4005179071.0,292399260204.0,1751576012058624.0,4917433397248.0,5926936329523200.0,64887784481.0,0.0,21846838373.0,1575589116.0,1114521283.0,24348414.0,51731.0,641184982.0,1294127.0,76346406.0,0.0,0.0,0.0,11597946.0,0.0,3909420.0,players-activeLogic_RollingHills_90p_300s.csv,43438,RollingHills,90,300,25
